group,topic,importance,performance,quadrant,sample_count
heard_and_visited,T5,0.7005649717514124,0.5794575660635302,keep_up,248
heard_and_visited,T1,0.096045197740113,0.3007521785302651,low_priority,34
heard_and_visited,T6,0.08192090395480225,0.6003698199212756,possible_overkill,29
heard_and_visited,T4,0.05084745762711865,0.5600208140475179,possible_overkill,18
heard_and_visited,T2,0.0423728813559322,0.5629918975376088,possible_overkill,15
heard_and_visited,T3,0.02824858757062147,0.16525761816539059,low_priority,10
heard_not_visited,T5,0.6241610738255033,0.503048777144393,keep_up,93
heard_not_visited,T6,0.1342281879194631,0.5699850358843417,possible_overkill,20
heard_not_visited,T1,0.09395973154362416,0.5716696098080101,possible_overkill,14
heard_not_visited,T2,0.087248322147651,0.48700929677796706,low_priority,13
heard_not_visited,T3,0.040268456375838924,0.10700545709794644,low_priority,6
heard_not_visited,T4,0.020134228187919462,0.4751769937328089,low_priority,3
