lval,op,rval,Estimate,Std. Err,z-value,p-value
CWI,~,CF,-0.09251981322405778,0.04190829793665449,-2.2076728900251754,0.027267083966881378
CWI,~,MTE,-0.086697460322117,0.11880739900581225,-0.7297311535045548,0.4655545344429657
CWI,~,MTP,-4.688309485421272e-06,42467.15364365387,-1.1039848643404135e-10,0.9999999999119147
CWI,~,MTPC,0.2506607814341992,0.041118902085692466,6.095998888922715,1.0875615963357177e-09
MGD,~,CF,-0.3893664283776391,0.039546480649387726,-9.845792140642017,0.0
MGD,~,MTE,-0.21486366903807236,0.11181968217021852,-1.9215192251134525,0.054666281015892215
MGD,~,MTPC,-0.08038571372045686,0.038751553880038384,-2.0743868482597954,0.03804339776427801
PWI,~,MGD,-0.006534279636981462,0.008915822993179518,-0.7328857516852016,0.4636281140610501
PWI,~,CWI,0.9818390904279813,0.008915824291580953,110.12319873160696,0.0
CWI,~~,CWI,0.9244925415367468,0.05574899785017177,16.583123951479518,0.0
MGD,~~,MGD,0.823269530770558,0.049645020634507105,16.583123951442964,0.0
PWI,~~,PWI,0.04361482896394618,0.002630073144889695,16.583123945471964,0.0
